parameter,value,rationale,confidence
dealer_two_way_spread,0.01,"Corpus gives the net-flow spread mechanism but never a spread rate. 1.0% two-way is a mid-market bullion dealer round-trip on 100g-1kg bars, consistent with the 3% fabrication premium on smaller denominations.",Low
S6 penetration ceiling,0.06,"S22 leaves S6 as 'n/a' and BRIEF 5 does not size the S6 base. Set the S6 addressable base at 50,000 and its ceiling equal to S4's, since both are small international perimeters requiring local licensing.",Low
marketing_spend_by_year,"{1: 60000, 2: 150000, 3: 250000, 4: 320000, 5: 400000, 6: 480000, 7: 560000, 8: 640000, 9: 720000, 10: 800000}",The opex table treats Marketing as a cost block but S48/G1 says it is a decision variable and an INPUT to acquisition. Neither source gives a monthly path. Anchored on the brief's Y1/Y3/Y10 opex marketing line and interpolated straight-line (log-linear is undefined from a zero base).,Low
early_lapser_post_gate_hazard,0.03,"S27 gives the early lapser a 0.200 own hazard and says '~90% gone by M13' but does not say what the residual does afterwards. Holding 0.200 forever drives the archetype to zero and removes it from the M25+ mix entirely, which over-thins the tail. Decayed to 0.030 from M13.",Low
card_spend_segment_exponent,0.55,"No source splits card spend by customer income band. Ticket is used as an income proxy, compressed by an exponent of 0.55, turning the 3.75x S3->S1 ticket spread into a ~2.1x card-spend spread. Consumption rises sub-proportionally with income (Engel-curve behaviour) and 0.55 sits mid the 0.4-0.7 range usually fitted to it. Normalised so the book-weighted mean equals the AED 6,000 S4 anchor: it redistributes, never rescales.",Low
credit_apr,0.125,"BRIEF 6.5 gives a UAE pricing corridor of 9% (Emirates Money) to 16% (Finance House) but never picks a point. Midpoint 12.5%; Aurumix takes CREDIT_INTEREST_SHARE_PP of it, not the whole rate.",Medium
family_avg_names,3.2,Pricing includes up to 4 beneficiaries; no source gives the observed mean. 3.2 assumes most households register spouse + 2 children and a minority add a parent.,Low
spot_tenure_uplift,0.3,"S45 says a 3-year account is 'roughly 2x as likely' to buy spot as a 6-month account but gives no functional form. Linear +30%/yr of tenure, capped at 2.0x, reproduces that ratio at 3 years.",Low
vault_pricing_regime,ad_valorem,"S14 and the brief's 7.4 verified range are both stated as a PERCENTAGE of value, so ad valorem is the sourced regime. The DGCX USD 0.10/kg/day tariff is a different vendor archetype quoted for wholesale bar storage. v1.0 took the cheaper of the two, which is not a quote anyone offers and understates Y10 vault cost by roughly 10x.",Medium
opex_anchor_holding_ratio,"{1: 1.35, 3: 1.9, 10: 3.0}","The brief's opex anchors are contributing counts (7.4 'cost per investor' row + 14 default). Blocks that scale with the HOLDING book need a holding count at those same anchors, which v1.0 never computed because it treated LAPSED as terminal. Ratios are taken from this model's own computed contributing:holding trajectory (1.35x at Y1 rising to ~3.0x at Y10).",Medium
legal_opinions_and_trust_deed,150000.0,"Corpus says 'NOT ESTABLISHED. Budget generously' and names 3 opinions plus a trust deed and 6 counsel batches. The brief carries ZERO legal cost, which reads as if legal is free. USD 150k one-off is a visible placeholder, NOT a quote. Booked M1-M12.",Low
